CalBP,NeedAvg11,BroadAvg11,Wood11,Open11,DepthCM,AP
8688.9,37.1,30.193,67.293,32.707,2940,66.08053837
8726.6,30.15,32.685,62.835,37.165,2943,58.31723546
8779.9,30.15,32.685,62.835,37.165,2947,68.25030243
8806,47.13,24.57,71.7,28.3,2949,66.40608267
8876.9,30.15,32.685,62.835,37.165,2954,68.64139021
8906.6,43.26,23.93,67.19,32.81,2956,59.86318268
9034.8,39.537,31.171,70.709,29.291,2964,76.33637549
9051.9,36.21,34.049,70.259,29.741,2965,78.67230068
9069.3,36.21,34.049,70.259,29.741,2966,83.12869985
9105,46.79,22.46,69.25,30.75,2968,79.09372923
9141.9,34.584,34.227,68.811,31.189,2970,77.17299578
9160.8,33.903,33.414,67.317,32.683,2971,82.25927113
9199.5,39.352,27.205,66.558,33.443,2973,67.83446232
9219.3,46.79,22.46,69.25,30.75,2974,77.92690481
9260,34.829,35.803,70.631,29.369,2976,78.65082825
9302,37.519,32.15,69.669,30.331,2978,84.89822019
9323.5,36.347,30.046,66.393,33.607,2979,80.61057008
9390.2,36.21,34.049,70.259,29.741,2982,84.87732172
9436.5,43.576,31.351,74.927,25.073,2984,88.02144632
9507.3,42.841,25.207,68.049,31.951,2987,91.44993156
9531.3,32.26,31.23,63.49,36.51,2988,91.40271493
9555.4,33.397,35.25,68.647,31.353,2989,89.70828471
9628.9,43.576,31.351,74.927,25.073,2992,90.29903461
9678.8,33.569,29.331,62.9,37.1,2994,91.91015909
9806.7,45.603,23.559,69.161,30.839,2999,90.34521788
9939.2,43.467,29.974,73.441,26.559,3004,90.2627166
10132.6,40.226,34.023,74.249,25.751,3011,92.58941037
10276.5,43.53,27.359,70.889,29.111,3016,92.75280263
10425.3,43.576,31.351,74.927,25.073,3021,88.39785448
10672.9,49.467,23.45,72.917,27.083,3028,93.15431165
10933.1,44.889,25.399,70.287,29.713,3036,93.92583873
11101.9,50.679,15.731,66.41,33.59,3042,94.16685508
11155,30.222,8.495,38.718,61.282,3065,83.82305802
11500,21.974,0.401,22.376,77.624,3104,84.8546042
11650,25.047,0.781,25.829,74.171,3120,88.52154148
11800,26.467,0.44,26.907,73.093,3155,88.25316456
11950,10.214,0.664,10.879,89.121,3172,92.50104297
12100,15.293,0.739,16.031,83.969,3200,92.99602973
12250,23.141,0.931,24.073,75.927,3270,81.9798995
12300,20.087,0.673,20.76,79.24,3282,86.96808511
